question,answer,category,clean_question
What are the check-in and check-out times?,Check-in is at 3:00 PM and check-out is at 12:00 PM noon. Early check-in and late check-out can be arranged based on availability.,General,what are the checkin and checkout times
Do you offer early check-in?,Early check-in is subject to availability. Please contact the front desk in advance and we will do our best to accommodate you.,General,do you offer early checkin
Can I request a late check-out?,Late check-out until 2:00 PM can be requested and is subject to availability. Additional charges may apply after 2:00 PM.,General,can i request a late checkout
Where is the hotel located?,The hotel is located at 12 Bloom Street City Center conveniently close to major attractions shopping centers and transport links.,General,where is the hotel located
How do I contact the hotel?,You can reach us by phone at +1 800 555 NEST or by email at stay@nestandco.com. Our front desk is available 24 hours a day.,General,how do i contact the hotel
What is the hotel phone number?,Our phone number is +1 800 555 NEST. You can call us anytime as our front desk operates 24 hours a day 7 days a week.,General,what is the hotel phone number
What is the hotel email address?,You can email us at stay@nestandco.com. We typically respond within a few hours during business hours.,General,what is the hotel email address
What types of rooms do you offer?,We offer four room types: Cozy Room for $180 per night Studio Suite for $320 per night Family Nest for $240 per night and Penthouse Suite for $650 per night.,Rooms,what types of rooms do you offer
Tell me about the Cozy Room.,The Cozy Room is priced at $180 per night and features a king-sized bed a beautiful city view and a 35 square meter layout. Perfect for solo travelers or couples.,Rooms,tell me about the cozy room
What is the Cozy Room price?,The Cozy Room is priced at $180 per night. It includes a king bed city view and 35 sqm of comfortable space.,Rooms,what is the cozy room price
Tell me about the Studio Suite.,The Studio Suite is $320 per night. It features a separate living area a king-sized bed a private balcony and 55 square meters of elegant space.,Rooms,tell me about the studio suite
What is included in the Studio Suite?,The Studio Suite includes a living area king bed private balcony and 55 sqm of space at $320 per night.,Rooms,what is included in the studio suite
Tell me about the Penthouse Suite.,The Penthouse Suite is our most luxurious option at $650 per night. It offers 2 bedrooms a private terrace butler service and 120 square meters of premium space.,Rooms,tell me about the penthouse suite
What does the Penthouse Suite include?,The Penthouse Suite at $650 per night includes 2 bedrooms a private terrace dedicated butler service and 120 sqm of space. It is the ultimate luxury experience.,Rooms,what does the penthouse suite include
Tell me about the Family Nest room.,The Family Nest is designed for families at $240 per night. It includes 2 queen beds kid-friendly amenities and 50 square meters of comfortable space.,Rooms,tell me about the family nest room
What is the Family Nest room?,The Family Nest room is perfect for families at $240 per night featuring 2 queen beds kid-friendly amenities and 50 sqm of space.,Rooms,what is the family nest room
Which is your most expensive room?,Our most luxurious and premium room is the Penthouse Suite at $650 per night with 2 bedrooms private terrace and butler service.,Rooms,which is your most expensive room
Which room is best for families?,The Family Nest room at $240 per night is ideal for families with 2 queen beds kid-friendly amenities and 50 sqm of space.,Rooms,which room is best for families
What is the cheapest room available?,Our most affordable option is the Cozy Room at $180 per night featuring a king bed and city view in 35 sqm of space.,Rooms,what is the cheapest room available
