question,answer,category
What are the check-in and check-out times?,Check-in is at 3:00 PM and check-out is at 12:00 PM noon. Early check-in and late check-out can be arranged based on availability.,General
Do you offer early check-in?,Early check-in is subject to availability. Please contact the front desk in advance and we will do our best to accommodate you.,General
Can I request a late check-out?,Late check-out until 2:00 PM can be requested and is subject to availability. Additional charges may apply after 2:00 PM.,General
Where is the hotel located?,The hotel is located at 12 Bloom Street City Center conveniently close to major attractions shopping centers and transport links.,General
How do I contact the hotel?,You can reach us by phone at +1 800 555 NEST or by email at stay@nestandco.com. Our front desk is available 24 hours a day.,General
What is the hotel phone number?,Our phone number is +1 800 555 NEST. You can call us anytime as our front desk operates 24 hours a day 7 days a week.,General
What is the hotel email address?,You can email us at stay@nestandco.com. We typically respond within a few hours during business hours.,General
What types of rooms do you offer?,We offer four room types: Cozy Room for $180 per night Studio Suite for $320 per night Family Nest for $240 per night and Penthouse Suite for $650 per night.,Rooms
Tell me about the Cozy Room.,The Cozy Room is priced at $180 per night and features a king-sized bed a beautiful city view and a 35 square meter layout. Perfect for solo travelers or couples.,Rooms
What is the Cozy Room price?,The Cozy Room is priced at $180 per night. It includes a king bed city view and 35 sqm of comfortable space.,Rooms
Tell me about the Studio Suite.,The Studio Suite is $320 per night. It features a separate living area a king-sized bed a private balcony and 55 square meters of elegant space.,Rooms
What is included in the Studio Suite?,The Studio Suite includes a living area king bed private balcony and 55 sqm of space at $320 per night.,Rooms
Tell me about the Penthouse Suite.,The Penthouse Suite is our most luxurious option at $650 per night. It offers 2 bedrooms a private terrace butler service and 120 square meters of premium space.,Rooms
What does the Penthouse Suite include?,The Penthouse Suite at $650 per night includes 2 bedrooms a private terrace dedicated butler service and 120 sqm of space. It is the ultimate luxury experience.,Rooms
Tell me about the Family Nest room.,The Family Nest is designed for families at $240 per night. It includes 2 queen beds kid-friendly amenities and 50 square meters of comfortable space.,Rooms
What is the Family Nest room?,The Family Nest room is perfect for families at $240 per night featuring 2 queen beds kid-friendly amenities and 50 sqm of space.,Rooms
Which is your most expensive room?,Our most luxurious and premium room is the Penthouse Suite at $650 per night with 2 bedrooms private terrace and butler service.,Rooms
Which room is best for families?,The Family Nest room at $240 per night is ideal for families with 2 queen beds kid-friendly amenities and 50 sqm of space.,Rooms
What is the cheapest room available?,Our most affordable option is the Cozy Room at $180 per night featuring a king bed and city view in 35 sqm of space.,Rooms
Do you have rooms with a balcony?,Yes the Studio Suite at $320 per night includes a private balcony along with a living area and king-sized bed.,Rooms
Do you have a restaurant?,Yes we have our farm-to-table restaurant called Bloom open daily from 7 AM to 11 PM serving breakfast lunch and dinner.,Dining
What is the restaurant name?,Our restaurant is called Bloom. It serves farm-to-table cuisine and is open from 7 AM to 11 PM every day.,Dining
What are the restaurant hours?,Our restaurant Bloom is open daily from 7:00 AM to 11:00 PM serving breakfast lunch and dinner.,Dining
Do you serve breakfast?,Yes Bloom our in-house restaurant serves breakfast daily from 7:00 AM. We offer a farm-to-table menu with fresh local ingredients.,Dining
Is room service available?,Yes room service is available 24 hours a day 7 days a week. You can order from our menu at any time by calling the front desk.,Dining
What time does room service close?,Room service is available around the clock 24 hours a day so you can order food at any time during your stay.,Dining
Do you have a pool?,Yes we have a stunning rooftop infinity pool with panoramic city views open daily from 6:00 AM to 10:00 PM.,Amenities
What are the pool hours?,Our rooftop infinity pool is open every day from 6:00 AM to 10:00 PM.,Amenities
Do you have a spa?,Yes we have a full spa and wellness center open from 8:00 AM to 9:00 PM offering massages facials sauna and wellness treatments.,Amenities
What services does the spa offer?,Our spa offers a wide range of services including full body massages facial treatments sauna steam room and wellness packages.,Amenities
What are the spa hours?,The spa and wellness center is open daily from 8:00 AM to 9:00 PM.,Amenities
Do you have a gym or fitness center?,Yes we have a fully equipped fitness center available to all guests 24 hours a day at no additional charge.,Amenities
Is the gym open 24 hours?,Yes the fitness center is open 24 hours a day 7 days a week and is complimentary for all hotel guests.,Amenities
Is WiFi available?,Yes complimentary high-speed WiFi is available throughout the entire hotel including all guest rooms lobby restaurant and outdoor areas.,Amenities
Is WiFi free?,Yes WiFi is completely free for all guests and available in all areas of the hotel including rooms and common spaces.,Amenities
Do you have parking?,Yes we offer valet parking at $25 per night. Please inform us in advance if you require parking.,Amenities
What is the parking fee?,Valet parking is available at $25 per night. Please let the front desk know upon arrival.,Amenities
Do you offer airport transfers?,Yes we offer airport shuttle service at $45 per trip. Please contact us in advance to schedule your pickup or drop-off.,Amenities
